date,ticker,in_index
2005-02-28,PHM,1
2005-02-28,PLD,1
2005-02-28,PLL,1
2005-02-28,PM,1
2005-02-28,PNC,1
2005-02-28,PNW,1
2005-02-28,POM,1
2005-02-28,PPG,1
2005-02-28,PPL,1
2005-02-28,PRU,1
2005-02-28,PSA,1
2005-02-28,PSKY,1
2005-02-28,PTV,1
2005-02-28,PWR,1
2005-02-28,PXD,1
2005-02-28,Q,1
2005-02-28,QCOM,1
2005-02-28,R,1
2005-02-28,RAI,1
2005-02-28,RDC,1
2005-02-28,RF,1
2005-02-28,RHI,1
2005-02-28,RHT,1
2005-02-28,RL,1
2005-02-28,ROK,1
2005-02-28,ROP,1
2005-02-28,RRD,1
2005-02-28,RSG,1
2005-02-28,RSH,1
2005-02-28,RTN,1
2005-02-28,RTX,1
2005-02-28,RVTY,1
2005-02-28,RX,1
2005-02-28,S,1
2005-02-28,SBL,1
2005-02-28,SBUX,1
2005-02-28,SCG,1
2005-02-28,SCHW,1
2005-02-28,SE,1
2005-02-28,SEE,1
2005-02-28,SGP,1
2005-02-28,SHLD,1
2005-02-28,SHW,1
2005-02-28,SIAL,1
2005-02-28,SII,1
2005-02-28,SJM,1
2005-02-28,SLB,1
2005-02-28,SLE,1
2005-02-28,SLM,1
2005-02-28,SLR,1
2005-02-28,SNA,1
2005-02-28,SNDK,1
2005-02-28,SNI,1
2005-02-28,SO,1
2005-02-28,SPG,1
2005-02-28,SPGI,1
2005-02-28,SPLS,1
2005-02-28,SRCL,1
2005-02-28,SRE,1
2005-02-28,STI,1
2005-02-28,STJ,1
2005-02-28,STR,1
2005-02-28,STT,1
2005-02-28,SUN,1
2005-02-28,SVU,1
2005-02-28,SW,1
2005-02-28,SWK,1
2005-02-28,SWN,1
2005-02-28,SWY,1
2005-02-28,SYK,1
2005-02-28,SYY,1
2005-02-28,T,1
2005-02-28,TAP,1
2005-02-28,TE,1
2005-02-28,TEG,1
2005-02-28,TEL,1
2005-02-28,TER,1
2005-02-28,TFC,1
2005-02-28,TGNA,1
2005-02-28,TGT,1
2005-02-28,THC,1
2005-02-28,TIE,1
2005-02-28,TIF,1
2005-02-28,TJX,1
2005-02-28,TLAB,1
2005-02-28,TMO,1
2005-02-28,TPR,1
2005-02-28,TRB,1
2005-02-28,TROW,1
2005-02-28,TRV,1
2005-02-28,TSG,1
2005-02-28,TSN,1
2005-02-28,TSS,1
2005-02-28,TT,1
2005-02-28,TWC,1
2005-02-28,TWX,1
2005-02-28,TXN,1
2005-02-28,TXT,1
2005-02-28,UAA,1
2005-02-28,UNH,1
2005-02-28,UNM,1
2005-02-28,UNP,1
2005-02-28,UPS,1
2005-02-28,URBN,1
2005-02-28,USB,1
2005-02-28,VAR,1
2005-02-28,VFC,1
2005-02-28,VIAB,1
2005-02-28,VLO,1
2005-02-28,VMC,1
2005-02-28,VNO,1
2005-02-28,VRSN,1
2005-02-28,VTRS,1
2005-02-28,VZ,1
2005-02-28,WAT,1
2005-02-28,WB,1
2005-02-28,WBA,1
2005-02-28,WDC,1
2005-02-28,WEC,1
2005-02-28,WELL,1
2005-02-28,WFC,1
2005-02-28,WFM,1
2005-02-28,WFR,1
2005-02-28,WHR,1
2005-02-28,WIN,1
2005-02-28,WM,1
2005-02-28,WMB,1
2005-02-28,WMT,1
2005-02-28,WTW,1
2005-02-28,WU,1
2005-02-28,WY,1
2005-02-28,WYN,1
2005-02-28,WYNN,1
2005-02-28,X,1
2005-02-28,XEL,1
2005-02-28,XL,1
2005-02-28,XLNX,1
2005-02-28,XOM,1
2005-02-28,XRAY,1
2005-02-28,XRX,1
2005-02-28,XTO,1
2005-02-28,YHOO,1
2005-02-28,YUM,1
2005-02-28,ZBH,1
2005-02-28,ZION,1
2005-03-31,A,1
2005-03-31,AA,1
2005-03-31,AAPL,1
2005-03-31,ABK,1
2005-03-31,ABS,1
2005-03-31,ABT,1
2005-03-31,ACAS,1
2005-03-31,ACE,1
2005-03-31,ADBE,1
2005-03-31,ADCT,1
2005-03-31,ADI,1
2005-03-31,ADM,1
2005-03-31,ADP,1
2005-03-31,ADSK,1
2005-03-31,AEE,1
2005-03-31,AEP,1
2005-03-31,AES,1
2005-03-31,AET,1
2005-03-31,AFL,1
2005-03-31,AGN,1
2005-03-31,AIG,1
2005-03-31,AIV,1
2005-03-31,AIZ,1
2005-03-31,AKAM,1
2005-03-31,ALL,1
2005-03-31,ALTR,1
2005-03-31,AMAT,1
2005-03-31,AMD,1
2005-03-31,AMGN,1
2005-03-31,AMP,1
2005-03-31,AMT,1
2005-03-31,AN,1
2005-03-31,ANDV,1
2005-03-31,ANF,1
2005-03-31,AON,1
2005-03-31,APA,1
2005-03-31,APC,1
2005-03-31,APD,1
2005-03-31,APH,1
2005-03-31,APOL,1
2005-03-31,APTV,1
2005-03-31,ATI,1
2005-03-31,AV,1
2005-03-31,AVP,1
2005-03-31,AVY,1
2005-03-31,AXP,1
